G06,CALYFOX RETAILS PRIVATE LIMITED,ALPHA I  AND II
G05,AGGARWAL FOOD PLAZA,ALPHA I  AND II
3,AGGARWL KIRANA & GENERAL STORE,ALPHA I  AND II
4,APNA STORE,ALPHA I  AND II
G115,AV GREEN RETAIL SHOPS (OPC) PVT LTD,ALPHA I  AND II
g0011,BALAJI PROVISION STORE,ALPHA I  AND II
172,BOBBY STORE,ALPHA I  AND II
171,CAFE - DE -AMAN,ALPHA I  AND II
168,CHAUDHARY ATTA CHAKKI,ALPHA I  AND II
105,FRESH FOOD SERVICES,ALPHA I  AND II
10,HARI OM PROVISION STORE,ALPHA I  AND II
177,HARIOM DEPARTMENTAL STORE,ALPHA I  AND II
15,HIMALAYA RETAILS PVT. LTD.,ALPHA I  AND II
14,HONEY MONEY TOP RETAIL PRIVATE LTD.,ALPHA I  AND II
1,KALIKA PROVISION STORE,ALPHA I  AND II
98,KRISHANA MEDICAL POINT,ALPHA I  AND II
11,KULDEEP KIRANA STORE,ALPHA I  AND II
167,KUMAR PROVISION STORE,ALPHA I  AND II
13,LIFE CARE PHARMACY,ALPHA I  AND II
48,MA A NARAYANI GENERAL STORE,ALPHA I  AND II
176,OM SHANTI PROVISION STORE,ALPHA I  AND II
G100,ONE STOP MART,ALPHA I  AND II
G02,PAWAN CHAURASIYA STORE,ALPHA I  AND II
2,PAWAN MEDICAL STORE,ALPHA I  AND II
99,Radha Rani General Store,ALPHA I  AND II
186,RAJAT ENTERPRISES,ALPHA I  AND II
133,RAM- MEDICINES,ALPHA I  AND II
12,RATAN - MEDICOSE PVT LTD,ALPHA I  AND II
169,RINKU MEDICAL,ALPHA I  AND II
173,RINKU STORE,ALPHA I  AND II
178,SATISH KIRANA STORE,ALPHA I  AND II
190,SATYARTH GREEN PRODUCTS,ALPHA I  AND II
6,SHUBHI STORE,ALPHA I  AND II
G105,SINGHAL KIRANA STORE,ALPHA I  AND II
5,SINGHAL PROVISION STORE,ALPHA I  AND II
100,TANEJA COSMETIC & GIFT SHOP,ALPHA I  AND II
G12,TBL PROJECTS LIMITED,ALPHA I  AND II
G04,TBL PROJECTS LIMITED,ALPHA I  AND II
g0101,THE NATURES ENERGY,ALPHA I  AND II
175,THE ROYAL COLLECTION,ALPHA I  AND II
G103,TULSI PATANJALI SWEDESHI KENDRA,ALPHA I  AND II
7,TULSI PHARMA,ALPHA I  AND II
G112,UJJWAL ENTERPRISES,ALPHA I  AND II
8,"V.R, MEDICOS",ALPHA I  AND II
170,VIDHA MEDICAL STORE,ALPHA I  AND II
166,VIDHYA MEDICAL,ALPHA I  AND II
44,9 TO 9 MERCATO,APPARTMENT AND  TUGALPUR
84,ADEN STORE,APPARTMENT AND  TUGALPUR
159,AGGARWAL KIRANA STORE,APPARTMENT AND  TUGALPUR
g01010,ANANT WELLNESS,APPARTMENT AND  TUGALPUR
104,ANJALI FACILITY SERVICES PVT. LTD.,APPARTMENT AND  TUGALPUR
101,ANSHIKA  COSMATICS,APPARTMENT AND  TUGALPUR
X199,ARN MEGAMART LLP,APPARTMENT AND  TUGALPUR
87,BALAJI DEPARTMENTAL STORE,APPARTMENT AND  TUGALPUR
9,BALAJI PROVISION STORE,APPARTMENT AND  TUGALPUR
88,BALAJI PROVISION STORE,APPARTMENT AND  TUGALPUR
Y2,BARO SERVICES,APPARTMENT AND  TUGALPUR
116,BIG SHOP,APPARTMENT AND  TUGALPUR
29,CHIDDA SINGH KIRANA STORE,APPARTMENT AND  TUGALPUR
G123,DEV SHOPPEE,APPARTMENT AND  TUGALPUR
81,Every Day Shopping Mart Pvt. Ltd.,APPARTMENT AND  TUGALPUR
G107,FRESH ZONE,APPARTMENT AND  TUGALPUR
117,FRIENDS ENTERPRISES,APPARTMENT AND  TUGALPUR
111,FRIENDS PROVISIONAL STORE,APPARTMENT AND  TUGALPUR
120,GAGAN MEDICOSE,APPARTMENT AND  TUGALPUR
91,GANPATI  KIRANA STORE,APPARTMENT AND  TUGALPUR
59,GUPTA GROCERY STORE,APPARTMENT AND  TUGALPUR
121,HABVIR KIRANA STORE,APPARTMENT AND  TUGALPUR
123,HIGLANCE LABORATORIES PVT LTD,APPARTMENT AND  TUGALPUR
31,KAJAL KIRANA STORE,APPARTMENT AND  TUGALPUR
107,KESHAV KIRANA STORE,APPARTMENT AND  TUGALPUR
82,KULDEEP KIRANA STORE P3,APPARTMENT AND  TUGALPUR
126,M RAM KIRANA STORE,APPARTMENT AND  TUGALPUR
89,MAHENDRA TRADERS,APPARTMENT AND  TUGALPUR
147,MANOJ KIRANA STORE,APPARTMENT AND  TUGALPUR
199,MED POINT PHARMACY & COSMATICS,APPARTMENT AND  TUGALPUR
47,MITTAL GENERAL  STORE,APPARTMENT AND  TUGALPUR
21,MITTAL PROVISION STORE,APPARTMENT AND  TUGALPUR
Y5,MUSKAN MEDICOS,APPARTMENT AND  TUGALPUR
140,NOIDA SHOP,APPARTMENT AND  TUGALPUR
19,OM KHUSHI KIRANA STORE,APPARTMENT AND  TUGALPUR
142,PAPPU PANSARI KIRANA STORE,APPARTMENT AND  TUGALPUR
128,PEER BABA KIRANA STORE,APPARTMENT AND  TUGALPUR
124,POOJA  ANSHIKA COSMETICS,APPARTMENT AND  TUGALPUR
Y6,PRAKASH MARKETING,APPARTMENT AND  TUGALPUR
G102,RADHA RANI GENERAL STORE,APPARTMENT AND  TUGALPUR
93,RAJELAL AND CO.,APPARTMENT AND  TUGALPUR
G108,RAJJAK KIRANA STORE,APPARTMENT AND  TUGALPUR
200,RAMESWARAM KIRANA STORE,APPARTMENT AND  TUGALPUR
102,RATAN - MEDICOSE PVT. LTD.,APPARTMENT AND  TUGALPUR
106,RATAN MEDICOSE PVT LTD,APPARTMENT AND  TUGALPUR
154,ROHIT GARG KIRANA STORE,APPARTMENT AND  TUGALPUR
179,ROHIT MEDICAL STORE,APPARTMENT AND  TUGALPUR
197,SAHU KIRANA STORE,APPARTMENT AND  TUGALPUR
198,SAI CAR CARE,APPARTMENT AND  TUGALPUR
G9,SAM BHOJAN FOOD,APPARTMENT AND  TUGALPUR
85,SANJU DEPARTMENTAL STORE,APPARTMENT AND  TUGALPUR
196,SHARMA ENTERPRISES,APPARTMENT AND  TUGALPUR
122,SHIV SHANKAR KIRANA STORE,APPARTMENT AND  TUGALPUR
127,SHREE GANESH KIRANA STORE,APPARTMENT AND  TUGALPUR
Y1,SHREE GANESH STORE.,APPARTMENT AND  TUGALPUR
X99,SHREEOM GENERAL STORE,APPARTMENT AND  TUGALPUR
115,SHRI KUNJ KIRANA STORE,APPARTMENT AND  TUGALPUR
83,SHRI VINAYAK STORES,APPARTMENT AND  TUGALPUR
164,SINGHAL TRADERS,APPARTMENT AND  TUGALPUR
39,Soni Supermart,APPARTMENT AND  TUGALPUR
G109,SUJATA MEDICOSE,APPARTMENT AND  TUGALPUR
45,SUMIT GENERAL STORE,APPARTMENT AND  TUGALPUR
G0120,VIJAY KIRANA STORE,APPARTMENT AND  TUGALPUR
92,AGGARWAL PROVISION STORE,BETA I AND II
113,AGGARWAL TRADING CO.,BETA I AND II
136,ARYAVART MEDICOS,BETA I AND II
20,BANSAL TRADING COMPANY,BETA I AND II
26,BIG SHOP,BETA I AND II
g1,BOMBAY CONFETIONERS,BETA I AND II
112,DHRUV KIRANA STORE,BETA I AND II
191,HARSH MEDICAL,BETA I AND II
G03,HEALTH CARE PHARMACY,BETA I AND II
g11,JAI BHAWANI KIRANA STORE,BETA I AND II
193,KHUSHI ENTERPRISES,BETA I AND II
23,MAHAVIRA GENERAL STORE,BETA I AND II
22,MITTAL & SONS,BETA I AND II
g0110,MITTAL PROVISION STORE,BETA I AND II
Y4,MITTAL TRADERS,BETA I AND II
194,MUKESH KIRANA,BETA I AND II
187,MUSKAN KIRANA STORE,BETA I AND II
131,MUSKAN TRADERS,BETA I AND II
g0119,OM RETAIL MART,BETA I AND II
25,PANDEY KIRANA STORE,BETA I AND II
192,PRINCE GEN STORE,BETA I AND II
201,RAGHAV AUTOMOBILE,BETA I AND II
18,RAJIV KRANA STORE,BETA I AND II
30,REAL SOLUTION DEPT. STORE,BETA I AND II
145,RIDDHI MEDICOSE,BETA I AND II
27,SARVODAYA MILK & VEG MART,BETA I AND II
129,SARVODYA MILK FOOD,BETA I AND II
G011,SAVERS CART,BETA I AND II
165,SHANKAR GENERAL STORE,BETA I AND II
G2,SHANKAR GENERAL STORE,BETA I AND II
Y3,SHIV CONF,BETA I AND II
195,SHIV KIRANA,BETA I AND II
109,SHIV SHAKTI GENERAL STORE,BETA I AND II
40,SHOPPER  POINT,BETA I AND II
G114,SHREE BALAJI STORE,BETA I AND II
55,SHRI BALAJI TRADERS,BETA I AND II
134,SHRI SHYAM KIRANA STORE,BETA I AND II
24,SISODIA MEDICAL STORE,BETA I AND II
GO1,SMARTY TELECOM & SERVICES,BETA I AND II
149,SUNIL AGGARWAL KIRANA STORE,BETA I AND II
110,VERMA CANTEEN STORE,BETA I AND II
137,VISHNU CANTEEN,BETA I AND II
119,WE CARE PHARMACY,BETA I AND II
46,A TO Z STORE,GAMMA I AND II
182,AARADHYA CANTEEN STATIONERY & FOOD MART,GAMMA I AND II
38,AGGARAWAL DEPARTMENTAL STORE,GAMMA I AND II
G104,APRITA ENTERPRISE,GAMMA I AND II
32,BAJRANG SHOPPING CENTRE,GAMMA I AND II
17,COLOURS COSMATICS,GAMMA I AND II
118,DISHA COSMATICS,GAMMA I AND II
139,DKLP SUPER MART,GAMMA I AND II
36,EVERGREEN PHARMA,GAMMA I AND II
G106,GAYATRI ENTERPRISES,GAMMA I AND II
33,GOYAL ENTERPRISES,GAMMA I AND II
g99,GOYAL SUPERMART,GAMMA I AND II
G012,GROW GREEN RETAIL LLP,GAMMA I AND II
138,GURU KRIPA MEDICOSE,GAMMA I AND II
202,JAIN DEPARTMENTAL STORE,GAMMA I AND II
180,KANHA CONFACTORANRY,GAMMA I AND II
G013,KUMAR ENTERPRISES,GAMMA I AND II
42,LONG LIFE MEDICOSE,GAMMA I AND II
34,LUXMI SUPER GENERAL STORE,GAMMA I AND II
G0199,MANGALA ARYA RETAIL AND ECOMMERCE,GAMMA I AND II
125,MEDI PLUS PHARMACY,GAMMA I AND II
35,NEW UNIVERSAL MEDICARE,GAMMA I AND II
37,PATHAK GENERAL STORE,GAMMA I AND II
97,RAVI KIRANA STORE,GAMMA I AND II
G014,RS ENTERPRISES,GAMMA I AND II
95,SANJEEVINI MEDICOSE,GAMMA I AND II
28,SHIV SHAKTI GENERAL STORE,GAMMA I AND II
135,SHRI AMRIT PHARMACY,GAMMA I AND II
96,SHUBHAM MEDICAL SORE,GAMMA I AND II
181,SHUBHAM STATIONARS,GAMMA I AND II
86,SRI RAM MEDICOSE,GAMMA I AND II
G101,STORE 51,GAMMA I AND II
g01,SURYA DEPARTMENTAL STORE,GAMMA I AND II
146,TABS & CAPS,GAMMA I AND II
203,TANEJA KIRANA,GAMMA I AND II
43,VIJAY MEDICOS,GAMMA I AND II